epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1361.81,1.04382,0.9153,1.29204,0.97165,0.93616,0.98095,0.77734,0.79109,0.66087,1.10118,0.00112482,0.00112482,0.00112482
43,1392.2,0.95378,0.85033,1.2597,0.95813,0.9067,0.96445,0.76753,0.8167,0.65637,1.13047,0.00111886,0.00111886,0.00111886
44,1420.02,0.95376,0.85625,1.23652,0.94409,0.93732,0.97646,0.77711,0.81485,0.63274,1.09857,0.00111278,0.00111278,0.00111278
45,1446.65,0.91919,0.82434,1.23007,0.94091,0.93,0.96907,0.77809,0.79322,0.63571,1.11301,0.00110659,0.00110659,0.00110659
46,1486.62,0.92258,0.81415,1.18417,0.82041,0.89611,0.91491,0.68137,0.89698,0.72917,1.15878,0.00110027,0.00110027,0.00110027
47,1520.94,0.94107,0.88075,1.2263,0.88285,0.94496,0.96406,0.76836,0.77848,0.68741,1.09266,0.00109384,0.00109384,0.00109384
48,1550.9,0.91536,0.87895,1.22125,0.95749,0.93807,0.96825,0.78679,0.80103,0.68975,1.09758,0.00108729,0.00108729,0.00108729
49,1579.22,0.89533,0.80125,1.18146,0.93542,0.89181,0.96479,0.75306,0.81599,0.59748,1.11032,0.00108062,0.00108062,0.00108062
50,1607.5,0.9457,0.81603,1.25316,0.95449,0.93183,0.9767,0.75911,0.82382,0.61565,1.11349,0.00107385,0.00107385,0.00107385
51,1641.36,0.88505,0.75812,1.18611,0.96944,0.93317,0.97864,0.79247,0.76841,0.58489,1.10307,0.00106696,0.00106696,0.00106696
52,1670.26,0.88675,0.72587,1.18737,0.93815,0.93556,0.97001,0.78066,0.75451,0.57603,1.06839,0.00105996,0.00105996,0.00105996
53,1697.71,0.86209,0.74781,1.17067,0.95673,0.94629,0.9801,0.79618,0.74778,0.52669,1.03348,0.00105286,0.00105286,0.00105286
54,1725.57,0.80891,0.66644,1.14454,0.9396,0.93627,0.98111,0.78937,0.75028,0.56993,1.07913,0.00104565,0.00104565,0.00104565
55,1765.72,0.82989,0.68945,1.15472,0.94392,0.94068,0.9773,0.74773,0.81484,0.57277,1.08806,0.00103834,0.00103834,0.00103834
56,1795.91,0.88059,0.72237,1.17061,0.95127,0.97104,0.98747,0.79416,0.79076,0.53769,1.07481,0.00103093,0.00103093,0.00103093
57,1827.75,0.86694,0.69776,1.12889,0.96957,0.93249,0.98123,0.80292,0.70984,0.5699,1.05116,0.00102341,0.00102341,0.00102341
58,1854.47,0.84528,0.68714,1.14732,0.95284,0.95385,0.97412,0.79608,0.79277,0.58673,1.06083,0.0010158,0.0010158,0.0010158
59,1888.26,0.90292,0.72841,1.17306,0.98647,0.89854,0.97683,0.77986,0.75652,0.62007,1.07826,0.00100809,0.00100809,0.00100809
60,1915.63,0.82034,0.69025,1.14375,0.94675,0.94361,0.97153,0.77515,0.78316,0.61849,1.05954,0.00100029,0.00100029,0.00100029
61,1942.88,0.89592,0.71178,1.17243,0.96526,0.93944,0.97364,0.78533,0.73707,0.53376,1.05859,0.000992392,0.000992392,0.000992392
62,1971.4,0.80858,0.66987,1.12938,0.98992,0.92637,0.97889,0.7971,0.74844,0.54729,1.04236,0.000984405,0.000984405,0.000984405
63,2006.36,0.83734,0.68604,1.15348,0.94071,0.94176,0.97202,0.79376,0.77749,0.53788,1.07885,0.000976329,0.000976329,0.000976329
64,2034.44,0.86834,0.65353,1.15756,0.95269,0.9534,0.97913,0.77,0.8043,0.58044,1.09769,0.000968167,0.000968167,0.000968167
65,2089.6,0.84287,0.66079,1.16402,0.97784,0.97073,0.98101,0.78379,0.77675,0.55901,1.0508,0.000959921,0.000959921,0.000959921
66,2117.53,0.79908,0.63705,1.11328,0.95281,0.95218,0.97646,0.79703,0.70388,0.51748,1.04905,0.000951591,0.000951591,0.000951591
67,2144.39,0.77924,0.63762,1.12377,0.97154,0.93723,0.97259,0.79133,0.73954,0.53432,1.0889,0.000943182,0.000943182,0.000943182
68,2173.06,0.86759,0.66584,1.15916,0.94854,0.93972,0.97427,0.80248,0.7123,0.52931,1.04103,0.000934693,0.000934693,0.000934693
69,2200.16,0.75665,0.61298,1.12276,0.94769,0.95032,0.9823,0.79164,0.73831,0.50215,1.06026,0.000926128,0.000926128,0.000926128
